iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1883,2.35265,0.302227,0.001077,0.000509,0.003378,2.84851,0,5000
1884,2.3365,0.288286,0.001077,0.000515,0.003443,2.82653,0,5000
1885,2.28864,0.284941,0.001083,0.00066,0.003235,2.77477,0,5000
1886,2.33991,0.279157,0.001059,0.00058,0.003185,2.8261,0,5000
1887,2.29515,0.278174,0.001061,0.000563,0.00319,2.76989,0,5000
1888,2.28078,0.283096,0.001043,0.000545,0.006654,2.76387,0,5000
1889,2.3282,0.341783,0.001002,0.000552,0.003271,2.86856,0,5000
1890,2.27322,0.334304,0.001074,0.000455,0.003347,2.79628,0,5000
1891,2.27867,0.345778,0.001053,0.000518,0.003304,2.81832,0,5000
1892,2.2792,0.341086,0.001058,0.000532,0.003223,2.82533,0,5000
1893,2.27062,0.351323,0.001065,0.000539,0.003243,2.82218,0,5000
1894,2.30257,0.2944,0.001076,0.00052,0.003191,2.80159,0,5000
1895,2.3455,0.279521,0.001038,0.000489,0.003236,2.82157,0,5000
1896,2.30527,0.279385,0.00103,0.000515,0.003254,2.7817,0,5000
1897,2.27299,0.307072,0.001079,0.000472,0.002931,2.78257,0,5000
1898,2.26171,0.305869,0.00109,0.000502,0.003222,2.74782,0,5000
1899,2.30488,0.31011,0.001084,0.000526,0.003153,2.76741,0,5000
1900,2.28069,0.280566,0.001084,0.000605,0.003208,2.74962,0,5000
1901,2.27529,0.315437,0.001025,0.000469,0.00327,2.79182,0,5000
1902,2.30071,0.342857,0.00103,0.00048,0.003302,2.84639,0,5000
1903,2.26836,0.361298,0.001093,0.000537,0.003563,2.83283,0,5000
1904,2.22328,0.313273,0.001065,0.000552,0.00305,2.73922,0,5000
1905,2.23815,0.287755,0.001066,0.000536,0.009997,2.72462,0,5000
1906,2.27946,0.282159,0.001023,0.0005,0.003008,2.7393,0,5000
1907,2.26706,0.294094,0.001028,0.000504,0.003028,2.70716,0,5000
1908,2.2725,0.296127,0.00102,0.00061,0.003069,2.76038,0,5000
1909,2.29955,0.308049,0.001048,0.000526,0.003025,2.80392,0,5000
1910,2.28543,0.292034,0.001024,0.00049,0.00301,2.74918,0,5000
1911,2.31167,0.302008,0.001087,0.000548,0.003195,2.77033,0,5000
1912,2.28254,0.310754,0.001003,0.000505,0.003368,2.76008,0,5000
1913,2.3115,0.302374,0.00106,0.000492,0.00322,2.78889,0,5000
1914,2.27757,0.373587,0.001073,0.000536,0.003361,2.8144,0,5000
1915,2.26763,0.351837,0.001028,0.000512,0.003224,2.82182,0,5000
1916,2.27095,0.353413,0.001029,0.000496,0.00325,2.82086,0,5000
1917,2.29932,0.284598,0.001076,0.000474,0.003351,2.78465,0,5000
1918,2.32149,0.312225,0.001024,0.000478,0.003248,2.83776,0,5000
1919,2.33274,0.307657,0.001025,0.000524,0.003118,2.83682,0,5000
1920,2.32135,0.289561,0.000996,0.000485,0.003072,2.79145,0,5000
1921,2.26791,0.288693,0.001087,0.000513,0.00298,2.74154,0,5000
1922,2.28659,0.294053,0.001052,0.000575,0.003166,2.77714,0,5000
1923,2.28662,0.277139,0.001034,0.000554,0.003276,2.72978,0,5000
